city_code,city_name_boundary,boundary_source_gb,year,method_id,collection_id,radiance_band,annual_reducer,exclude_2024_doy226_279,radiance_stock,boundary_area_km2,valid_area_km2,valid_month_area_sum,valid_day_area_sum,valid_pixel_fraction,valid_months,mean_valid_days_per_valid_month,city_name_result1,province_name,valid_pixel_fraction_display
130100,石家庄市,156130100,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,22607.23954925001,14050.1006645164,14057.895616938322,168517.9193765649,243712.02933274055,1.0005547969091502,11.987421444040182,17.33630949991495,石家庄市,河北省,1.0
130200,唐山市,156130200,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,30880.492699538147,13763.61912418924,13504.229656650745,160912.90883931323,226851.6052978728,0.9811539780926789,11.915741432912071,16.79855949325846,唐山市,河北省,0.9811539780926789
130300,秦皇岛市,156130300,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,9697.627639519014,7763.396415077573,7770.001678031978,93207.3399154887,138851.5930595819,1.0008508212902252,11.995794052273189,17.870214037682278,秦皇岛市,河北省,1.0
130400,邯郸市,156130400,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,16887.895446797727,12098.639012853211,12097.44528171899,145061.7108021684,198898.81271988255,0.9999013334365169,11.991102867096897,16.441389738744903,邯郸市,河北省,0.9999013334365169
130500,邢台市,156130500,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,11854.661486600056,12428.993187572329,12433.861942436995,148759.29609831833,211883.46952481935,1.0003917256040928,11.964045988849222,17.04084141401452,邢台市,河北省,1.0
140100,太原市,156140100,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,18699.863457387924,6898.895397292529,6900.184550146436,82738.38663817996,124110.38497432308,1.0001868636614513,11.9907498179051,17.986531240195482,太原市,山西省,1.0
140200,大同市,156140200,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,13204.92739982542,14060.625597366114,14074.62393758776,168863.20126605223,268571.65679013415,1.0009955702272784,11.99770608542409,19.081977463915422,大同市,山西省,1.0
140300,阳泉市,156140300,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,3999.736012832408,4569.27886970212,4571.815991180726,54808.36285891254,81478.48495319452,1.0005552564312565,11.98831338895545,17.82190821117272,阳泉市,山西省,1.0
141100,吕梁市,156141100,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,14087.942428914528,21051.35462570035,21061.388280602645,252633.408948694,372683.79421116825,1.000476627517834,11.995097644221639,17.69512005789318,吕梁市,山西省,1.0
150100,呼和浩特市,156150100,2014,annual_mean,NASA/VIIRS/002/VNP46A2,DNB_BRDF_Corrected_NTL,mean,False,19163.361993889,17138.960853898392,17159.10870448491,205830.03624004943,328297.53901677264,1.0011755584692834,11.995380400279839,19.132551968212947,呼和浩特市,内蒙古自治区,1.0
