city_name_yicai,yicai_tier,yicai_tier_label,yicai_tier_rank,within_tier_order,yicai_overall_order
北京市,first_tier,一线城市,1,1,1
上海市,first_tier,一线城市,1,2,2
广州市,first_tier,一线城市,1,3,3
深圳市,first_tier,一线城市,1,4,4
成都市,new_first_tier,新一线城市,2,1,5
杭州市,new_first_tier,新一线城市,2,2,6
武汉市,new_first_tier,新一线城市,2,3,7
重庆市,new_first_tier,新一线城市,2,4,8
南京市,new_first_tier,新一线城市,2,5,9
天津市,new_first_tier,新一线城市,2,6,10
苏州市,new_first_tier,新一线城市,2,7,11
西安市,new_first_tier,新一线城市,2,8,12
长沙市,new_first_tier,新一线城市,2,9,13
沈阳市,new_first_tier,新一线城市,2,10,14
青岛市,new_first_tier,新一线城市,2,11,15
郑州市,new_first_tier,新一线城市,2,12,16
大连市,new_first_tier,新一线城市,2,13,17
东莞市,new_first_tier,新一线城市,2,14,18
宁波市,new_first_tier,新一线城市,2,15,19
厦门市,second_tier,二线城市,3,1,20
福州市,second_tier,二线城市,3,2,21
无锡市,second_tier,二线城市,3,3,22
合肥市,second_tier,二线城市,3,4,23
昆明市,second_tier,二线城市,3,5,24
哈尔滨市,second_tier,二线城市,3,6,25
济南市,second_tier,二线城市,3,7,26
佛山市,second_tier,二线城市,3,8,27
长春市,second_tier,二线城市,3,9,28
温州市,second_tier,二线城市,3,10,29
石家庄市,second_tier,二线城市,3,11,30
南宁市,second_tier,二线城市,3,12,31
常州市,second_tier,二线城市,3,13,32
泉州市,second_tier,二线城市,3,14,33
南昌市,second_tier,二线城市,3,15,34
贵阳市,second_tier,二线城市,3,16,35
太原市,second_tier,二线城市,3,17,36
烟台市,second_tier,二线城市,3,18,37
嘉兴市,second_tier,二线城市,3,19,38
南通市,second_tier,二线城市,3,20,39
金华市,second_tier,二线城市,3,21,40
珠海市,second_tier,二线城市,3,22,41
惠州市,second_tier,二线城市,3,23,42
徐州市,second_tier,二线城市,3,24,43
海口市,second_tier,二线城市,3,25,44
乌鲁木齐市,second_tier,二线城市,3,26,45
绍兴市,second_tier,二线城市,3,27,46
中山市,second_tier,二线城市,3,28,47
台州市,second_tier,二线城市,3,29,48
兰州市,second_tier,二线城市,3,30,49
潍坊市,third_tier,三线城市,4,1,50
保定市,third_tier,三线城市,4,2,51
镇江市,third_tier,三线城市,4,3,52
扬州市,third_tier,三线城市,4,4,53
桂林市,third_tier,三线城市,4,5,54
唐山市,third_tier,三线城市,4,6,55
三亚市,third_tier,三线城市,4,7,56
湖州市,third_tier,三线城市,4,8,57
呼和浩特市,third_tier,三线城市,4,9,58
廊坊市,third_tier,三线城市,4,10,59
洛阳市,third_tier,三线城市,4,11,60
威海市,third_tier,三线城市,4,12,61
盐城市,third_tier,三线城市,4,13,62
临沂市,third_tier,三线城市,4,14,63
江门市,third_tier,三线城市,4,15,64
汕头市,third_tier,三线城市,4,16,65
泰州市,third_tier,三线城市,4,17,66
漳州市,third_tier,三线城市,4,18,67
邯郸市,third_tier,三线城市,4,19,68
济宁市,third_tier,三线城市,4,20,69
芜湖市,third_tier,三线城市,4,21,70
淄博市,third_tier,三线城市,4,22,71
银川市,third_tier,三线城市,4,23,72
柳州市,third_tier,三线城市,4,24,73
绵阳市,third_tier,三线城市,4,25,74
湛江市,third_tier,三线城市,4,26,75
鞍山市,third_tier,三线城市,4,27,76
赣州市,third_tier,三线城市,4,28,77
大庆市,third_tier,三线城市,4,29,78
宜昌市,third_tier,三线城市,4,30,79
包头市,third_tier,三线城市,4,31,80
咸阳市,third_tier,三线城市,4,32,81
秦皇岛市,third_tier,三线城市,4,33,82
株洲市,third_tier,三线城市,4,34,83
莆田市,third_tier,三线城市,4,35,84
吉林市,third_tier,三线城市,4,36,85
淮安市,third_tier,三线城市,4,37,86
肇庆市,third_tier,三线城市,4,38,87
宁德市,third_tier,三线城市,4,39,88
衡阳市,third_tier,三线城市,4,40,89
南平市,third_tier,三线城市,4,41,90
连云港市,third_tier,三线城市,4,42,91
丹东市,third_tier,三线城市,4,43,92
丽江市,third_tier,三线城市,4,44,93
揭阳市,third_tier,三线城市,4,45,94
延边朝鲜族自治州,third_tier,三线城市,4,46,95
舟山市,third_tier,三线城市,4,47,96
九江市,third_tier,三线城市,4,48,97
龙岩市,third_tier,三线城市,4,49,98
沧州市,third_tier,三线城市,4,50,99
抚顺市,third_tier,三线城市,4,51,100
襄阳市,third_tier,三线城市,4,52,101
上饶市,third_tier,三线城市,4,53,102
营口市,third_tier,三线城市,4,54,103
三明市,third_tier,三线城市,4,55,104
蚌埠市,third_tier,三线城市,4,56,105
丽水市,third_tier,三线城市,4,57,106
岳阳市,third_tier,三线城市,4,58,107
清远市,third_tier,三线城市,4,59,108
荆州市,third_tier,三线城市,4,60,109
泰安市,third_tier,三线城市,4,61,110
衢州市,third_tier,三线城市,4,62,111
盘锦市,third_tier,三线城市,4,63,112
东营市,third_tier,三线城市,4,64,113
南阳市,third_tier,三线城市,4,65,114
马鞍山市,third_tier,三线城市,4,66,115
南充市,third_tier,三线城市,4,67,116
西宁市,third_tier,三线城市,4,68,117
孝感市,third_tier,三线城市,4,69,118
齐齐哈尔市,third_tier,三线城市,4,70,119
乐山市,fourth_tier,四线城市,5,1,120
湘潭市,fourth_tier,四线城市,5,2,121
遵义市,fourth_tier,四线城市,5,3,122
宿迁市,fourth_tier,四线城市,5,4,123
新乡市,fourth_tier,四线城市,5,5,124
信阳市,fourth_tier,四线城市,5,6,125
滁州市,fourth_tier,四线城市,5,7,126
锦州市,fourth_tier,四线城市,5,8,127
潮州市,fourth_tier,四线城市,5,9,128
黄冈市,fourth_tier,四线城市,5,10,129
开封市,fourth_tier,四线城市,5,11,130
德阳市,fourth_tier,四线城市,5,12,131
德州市,fourth_tier,四线城市,5,13,132
梅州市,fourth_tier,四线城市,5,14,133
鄂尔多斯市,fourth_tier,四线城市,5,15,134
邢台市,fourth_tier,四线城市,5,16,135
茂名市,fourth_tier,四线城市,5,17,136
大理白族自治州,fourth_tier,四线城市,5,18,137
韶关市,fourth_tier,四线城市,5,19,138
商丘市,fourth_tier,四线城市,5,20,139
安庆市,fourth_tier,四线城市,5,21,140
黄石市,fourth_tier,四线城市,5,22,141
六安市,fourth_tier,四线城市,5,23,142
玉林市,fourth_tier,四线城市,5,24,143
宜春市,fourth_tier,四线城市,5,25,144
北海市,fourth_tier,四线城市,5,26,145
牡丹江市,fourth_tier,四线城市,5,27,146
张家口市,fourth_tier,四线城市,5,28,147
梧州市,fourth_tier,四线城市,5,29,148
日照市,fourth_tier,四线城市,5,30,149
咸宁市,fourth_tier,四线城市,5,31,150
常德市,fourth_tier,四线城市,5,32,151
佳木斯市,fourth_tier,四线城市,5,33,152
红河哈尼族彝族自治州,fourth_tier,四线城市,5,34,153
黔东南苗族侗族自治州,fourth_tier,四线城市,5,35,154
阳江市,fourth_tier,四线城市,5,36,155
晋中市,fourth_tier,四线城市,5,37,156
渭南市,fourth_tier,四线城市,5,38,157
呼伦贝尔市,fourth_tier,四线城市,5,39,158
恩施土家族苗族自治州,fourth_tier,四线城市,5,40,159
河源市,fourth_tier,四线城市,5,41,160
郴州市,fourth_tier,四线城市,5,42,161
阜阳市,fourth_tier,四线城市,5,43,162
聊城市,fourth_tier,四线城市,5,44,163
大同市,fourth_tier,四线城市,5,45,164
宝鸡市,fourth_tier,四线城市,5,46,165
许昌市,fourth_tier,四线城市,5,47,166
赤峰市,fourth_tier,四线城市,5,48,167
运城市,fourth_tier,四线城市,5,49,168
安阳市,fourth_tier,四线城市,5,50,169
临汾市,fourth_tier,四线城市,5,51,170
宣城市,fourth_tier,四线城市,5,52,171
曲靖市,fourth_tier,四线城市,5,53,172
西双版纳傣族自治州,fourth_tier,四线城市,5,54,173
邵阳市,fourth_tier,四线城市,5,55,174
葫芦岛市,fourth_tier,四线城市,5,56,175
平顶山市,fourth_tier,四线城市,5,57,176
